keyword,label,tweet
alzheimer,2,"@teddavid @Mediaite He had Alzheimer's, which is formally recognized as a mental illness. https://t.co/RLzXSCmVOc"
alzheimer,1,"Incredible tips! It is very important for many families! Congratulations,@Shapiro50plus ! #alzheimer https://t.co/ECMu7zxN52"
alzheimer,1,Learn more about how medical marijuana eases suffering for #Alzheimer's: https://t.co/2Qu6cOYth0 https://t.co/MImUmGrvVU
alzheimer,2,Please can 2017 bring good medicine for Alzheimer's.....I don't want to lose someone that's a dad to me...
alzheimer,1,"Choosing Appropriate, Clean Clothing for the Person with Alzheimer's or Dementia - Alzheimers Support  https://t.co/fVqpgQrG8h https://t.co/ZeNWF79xFo"
alzheimer,1,Exercising can protect the brain from Alzheimer's disease -&gt; https://t.co/Yvn9zYjDS6
alzheimer,1,Awakening From Alzheimer's: How 9 Maverick Do... by Peggy Sarlin https://t.co/vc37OezK3N via @amazon
alzheimer,1,"Hope Takes on Different Meanings for Alzheimer's Caregivers https://t.co/Vt4rkDdz5U #alz,#caregiver"
alzheimer,2,That moment when you think granny went for a walk &amp; got lost because of Alzheimer's but she been in jail the whole time https://t.co/Gd3VZ9cXET
alzheimer,2,i think my mother has alzheimer's
alzheimer,1,"#healthnews Newly discovered disease could hold key to Alzheimer's, Parkinson's – and even ageing... https://t.co/ilOGVdJWDR"
alzheimer,1,'Waves' of neural activity give new clues about Alzheimer's https://t.co/Xeb97iKIte https://t.co/8PhhlAoZqZ
alzheimer,1,This new research sounds promising. What could this mean for #Alzheimer patients? https://t.co/Leyazze70G https://t.co/9MfsZ1aNYG
alzheimer,1,"Memory-Loss Stops The ""Internal Clock"" for those with Alzheimer's Dementia as they lose ""sense of time"" https://t.co/KwulEbKzaW"
alzheimer,1,"Alzheimer's is a terrible, terrible way to live and a horrid way to die. It is the longest goodbye you will ever have in your life. https://t.co/X8vlFmIMwV"
alzheimer,3,I'm becoming more forgetful - could I have Alzheimer's disease? https://t.co/iXFIcVFwSr via @nuzzel thanks @epaultaylor
alzheimer,1,It's so sad working somewhere where you can see someone with Alzheimer's disease get worse and worse everyday
alzheimer,2,nothing like watching your dad attempt a connection with the shell of your grandmother left by alzheimer's
alzheimer,1,"Newly discovered disease could hold key to Alzheimer’s, Parkinson’s – and even ageing https://t.co/942gRiw9I6 https://t.co/9Qle0pBK8p"
alzheimer,1,Check out this free learning opportunity being presented by the Alzheimer Society of Saskatchewan https://t.co/5SKwQG344D
alzheimer,1,#Zika virus could have #Alzheimer's-like effect in adults | The Independent https://t.co/BRW2d3GuVD
alzheimer,1,Why Scientists Are Still Flummoxed by Alzheimer’s https://t.co/F3CxNkvobV
alzheimer,2,"@realDonaldTrump Dad had Alzheimer's when he was 60. It does run in families. Yep, Trump is 70. 
I don't want a president with #Dementia. https://t.co/vERxVc4tJ5"
alzheimer,1,"In early stages of the disease, people with Alzheimer’s may have these symptoms. https://t.co/4fwprzpfib"
alzheimer,1,Dealing with your Parents Behaviour because of Alzheimer's -its difficult https://t.co/McDLh5KKaz
alzheimer,1,Piano teacher and students brighten Christmas at Peoria Alzheimer's center https://t.co/QULuiEOjvF
alzheimer,1,A new way to decrease Alzheimer’s #disease by larger percentages: https://t.co/tE08Gxd1R5 #Alzheimers #health #brain #working #retirement
alzheimer,2,tf RT @fubarista: Cops taser 91yo Alzheimer's patient for not going to the doctor (Video) https://t.co/t3iUiyFD7S
alzheimer,2,I would agree and add...I also think he is an old man in the early stages of Alzheimer's . https://t.co/laouTvJGkW
alzheimer,1,@TheADDF hey!! Any news on research/drugs for dementia and Alzheimer's you can share? #askalzgla
alzheimer,2,Mourning the Loss of a Friend to Alzheimer’s https://t.co/W8kBvwkCIz via @NextAvenue https://t.co/ehaXPqVr3p
alzheimer,1,Scientists Have Uncovered The Atomic Structure of a Key Alzheimer's Protein For The First Time https://t.co/XkG02m8DFF via @ScienceAlert
alzheimer,1,Emmerdale dementia episode praised by Alzheimer's Society - BBC News https://t.co/3srqeRVAnW
alzheimer,1,Alzheimer's Research UK's 'Santa Forgot' Campaign Uses Beacons to Drive Awareness https://t.co/DrARDrNeyG #iBeacon #ble #iot
alzheimer,2,"Although Alzheimer's has taken over my Nannies body, I hope to find the love she had with my grandad. Today is their anniversary of 61 yrs.💛"
alzheimer,1,Alzheimer’s Disease: Greatest Threat to Healthy Aging. #alzheimers #healthyaging #endALZ #babyboomers... https://t.co/wPnPfNSvBg
alzheimer,1,"Been listening to mom say ""all-timers"" instead of Alzheimer's for way too many years, you guys. Someone please correct her, I'll pay u"
alzheimer,1,New study confirms Alzheimer's and aluminum link can no longer be ignored https://t.co/LQKEpJ8Akt
alzheimer,1,"Comfort Clothing for someone with Alzheimer's, Dementia or other Memory Loss - Alzheimers Support https://t.co/v2vuY4kxlL https://t.co/dvNc7fzDxP"
alzheimer,1,We are conducting Alzheimer’s research studies at several locations. Contact us at 1-888-777-8839. https://t.co/Kw97AXEftQ https://t.co/Fwd4GeAdOa
alzheimer,1,California's communities of color are @&gt;risk of Alzheimer's #endalz https://t.co/ZRcpHX86g5
alzheimer,1,Tonight at the DC Center.  Know the 10 Signs of Alzheimer's - Please join us!... https://t.co/YWkm6GzuIU
alzheimer,1,Is This The Beginning of Alzheimer's Disease or... What City is this anyway? https://t.co/EOCfQafin6
alzheimer,1,Their genes put them at high risk of Alzheimer’s. So they’re experimenting — on themselves https://t.co/MxsF1VFIHN via @statnews
alzheimer,1,The Drink That Cuts Alzheimer’s Risk Up To 86% https://t.co/NzCKObUu9q via @PsyBlog
alzheimer,1,Can #Paleo help prevent or treat #Alzheimer's? https://t.co/xzLMaQxdyV  https://t.co/UpPmTnY5ZF
alzheimer,1,My heart goes out to people with dementia/alzheimer's and their families that struggle along with them
alzheimer,1,Exercise is key to staving off Alzheimer's: When Moll Anderson… https://t.co/EEKK6uZaw6 https://t.co/PvYEP4NoYR https://t.co/PvYEP4NoYR
alzheimer,1,Fund for Alzheimer’s Research Established at UT https://t.co/Vq8rjnaBor https://t.co/ZT0riYEutp
alzheimer,1,First Human Trial for New Alzheimer’s Vaccine Finds the “Achilles’ Heel” of Alzheimer’s https://t.co/OI87wImwZs
alzheimer,1,Aging Vision and Alzheimer's https://t.co/GDBwKxRyQB
alzheimer,2,@abbydphillip @Fahrenthold @washingtonpost @realDonaldTrump seriously he has Alzheimer's or dementia
alzheimer,1,"Using herpes drugs to slow down Alzheimer's 
@AlzNorCalNorNev @alzIllinois @AlzDemWeekly @alzheimerssoc https://t.co/6iIQakHMis"
alzheimer,1,Will We Soon Treat Alzheimer's With THC... And Light? https://t.co/aKjc3wuLgp via @@herbworthy
alzheimer,1,Coloring activities for adults with #Alzheimer's and #Dementia https://t.co/Q9OjVuoF9E #elderlyhealth https://t.co/s5SlNw2NwO
alzheimer,1,Efficacy of video-music therapy on quality of life improvement in patients w/Alzheimer's disease: a pre-post study.  https://t.co/hVMyMjtqNm
alzheimer,1,Painting a picture of Alzheimer's disease https://t.co/eC7JWO1Yz2
alzheimer,1,Help defeat dementia with Alzheimer's Research UK https://t.co/64QSenGG47 via @telegraph
alzheimer,1,Popular Heartburn Drugs Don't Raise Risk of Alzheimer's: Study https://t.co/QFl0Dd8m4j #health
alzheimer,2,Actually breaks my heart that Rita off coronation street is getting Alzheimer's💔 and it isn't even real😢
alzheimer,1,Hear more of these new PSA's about Alzheimer's and dementia on Salem Radio Stations!… https://t.co/iOKxVsYvXI
alzheimer,1,Early Onset Alzheimer Behavior - How will I know?  https://t.co/wzwLQznJRS https://t.co/4mTHt5KKdl
alzheimer,1,Click To Support Alzheimer's Research @ The Alzheimer's Site https://t.co/7IXkd5SneW via @po_st #alzheimers #elders #dementia
alzheimer,1,"Drinking 3 cups of coffee a day can help prevent Alzheimer's, Parkinson's
https://t.co/WGpd8Yg5mT"
alzheimer,1,Alzheimer's is the worst disease on the planet
alzheimer,2,"Cop kills unarmed 73 yo Alzheimer's victim.
Hes' not #black so no one cares.  #DisabledLivesMatter .
https://t.co/lfZ3GHlBrh"
alzheimer,2,@gekkeijyu @BraddJaffy Loss of recent memory? I'm worried about early signs of Alzheimer!
alzheimer,1,"Memory-Loss Stops The ""Internal Clock"" for those with Alzheimer's Dementia as they lose ""sense of time"" https://t.co/VlH46PCz2k"
alzheimer,1,"Individuals with Alzheimer's can become isolated, but we should continue to acknowledge their humanity. https://t.co/DkArhGuIzQ #Dementia"
alzheimer,2,Found out my granny got Alzheimer's disease 😞 keep her in y'all prayers for me
alzheimer,1,"2017 Georgia Alzheimer's Awareness Day at the Capitol: Friday, February 3, 2017 https://t.co/y2rLzNOPdo"
alzheimer,1,Can the person with late-stage Alzheimer's Dementia Feel Pain? - Alzheimers Support https://t.co/H84zc3dO0H
alzheimer,1,Flickering Light Treatment Holds Promise for Alzheimer's | Sci-Tech ... #alzheimer https://t.co/G3p64u5muk
alzheimer,2,Probably Alzheimer's which would account for why his children have in essence taken over and sit in on meetings. (Speaking from experience.) https://t.co/39huA4Xpo6
alzheimer,2,"A cool thing about my dad’s Alzheimer’s was having to re-explain the news to him—e.g. “Wait, why are we at war in Iraq?” in 2007"
alzheimer,1,Unraveling Alzheimer's: New study documents how brain cells go bad https://t.co/rNSkngbDkv
alzheimer,1,"#Coaching #Cuidadores #Alzheimer https://t.co/Qj6gBNfRYZ - top stories by @carthagebuckley, @moretime4u2"
alzheimer,1,Cold Weather Precautions for Elderly with Alzheimer’s - Alzheimers Support https://t.co/MKTBhFFJ6s https://t.co/k7WJ5nVISa
alzheimer,1,Sleeping Kitty The Perfect Gift for Alzheimer's - Alzheimers Support  https://t.co/op2EmHEDFz
alzheimer,1,Association between chronic periodontitis and the risk of Alzheimer’s disease: a… https://t.co/3b50RpXFXB
alzheimer,1,"And that's that you guys. If you know someone with Dementia, Alzheimer's or developing Alzheimer's cut them some slack, K?"
alzheimer,1,A sensitive new video about Early Onset Alzheimer's - Alzheimers Support https://t.co/gSRYK9bsPa https://t.co/ehQSuA5ZVp
alzheimer,1,Which genetic marker is the ring leader in the onset of Alzheimer's disease? https://t.co/QjBcf8MEZB https://t.co/UKzY1Awywf
alzheimer,1,Knowing what Alzheimer’s isn’t is just as important as knowing what Alzheimer’s is https://t.co/ecwoHFA74m
alzheimer,1,"Refer a friend. Help a charity. For every referred patient, we will donate $10 to Alzheimer's Network @AlzNetOR https://t.co/URgb3gBMPz"
alzheimer,1,Alzheimer’s Plaque in Mice Cut in Half With Flashing Lights https://t.co/w9V6b37zy2 https://t.co/MsYqnKDqVT
alzheimer,2,This is a man who can't remember what he said last week so he doesn't know his plan. Early stage Alzheimer's https://t.co/ONQIBQNJYO
alzheimer,1,The financial and emotional toll of America’s Alzheimer’s problem https://t.co/5b7e7MV0fI via @YahooFinance
alzheimer,1,Support Lulu's girls in the Walk to End Alzheimer's. Donate today and help #ENDALZ. https://t.co/L0kyVOvbAV
alzheimer,1,"New Study Explores Molecular Roots Of Alzheimer's Disease
https://t.co/5M8D1Zp70T"
alzheimer,1,"Every time you think of a memory, your mind changes it - in other words, the purest memories are in the minds of those with Alzheimer's."
alzheimer,1,"""For the 3rd year in a row we propose a $2B increase @NIH, including a $414M increase in Alzheimer's related research"" - @RoyBlunt"
alzheimer,1,"""#Researchers Unlock the #MolecularOrigins of #Alzheimer's #Disease""
https://t.co/CMm9lCSVED
#LatestHealthCareNews https://t.co/0qasEm0WNL"
alzheimer,1,Thinking of caring for a loved one with #Alzheimer at home? Check out some of our tips on our latest #blog https://t.co/2ZfshJxVkO #mobility https://t.co/zzSrVNGfo7
alzheimer,2,"@JoyceCarolOates Alzheimer's bc how REACTS to finding out he forgot -
That's what changes w/ Alz: we lose the ""oops!"" feeling/reaction"
alzheimer,1,#Cannabis may remove toxic protein associated with Alzheimer's https://t.co/BsFHuwTpwU
alzheimer,2,I am Walking to End Alzheimer's 4 my Dad.  Donate 2 Dennis and the Menaces (to Alzheimer's)! &amp; help #ENDALZ: https://t.co/nkIoKmKcAs
alzheimer,1,@docmmiller @SelimYeniceri Supplements can halt #Alzheimer’s in groundbreaking dementia prevention treatment https://t.co/CBbIkEwkMW
alzheimer,1,Researchers seek to catch Alzheimer's early by peeking into the eyes https://t.co/SP3dR3C8hv
alzheimer,1,Is This The Beginning of #Alzheimer's Disease or... What City is this anyway? -   https://t.co/EOCfQafin6
alzheimer,1,The effects of Vitamin D on Alzheimer's disease https://t.co/yIgbb7Fd0z
alzheimer,1,How are Peanut Butter and Alzheimer’s Connected? https://t.co/SWOq7nRCLR
alzheimer,1,"How a 9 year-old spent his summer vacation, helping seniors, some with Alzheimer's  ......  https://t.co/QuRMJP04sl"
alzheimer,1,Are Alzheimer's Activity Puzzles appropriate for the Person with dementia and Advanced Alzheimer's? https://t.co/wvKi9mrP0b https://t.co/tnJwWHymYL
alzheimer,1,dementia (Alzheimer's) takes everything away from a person so fast😔 it's heartbreaking to see💙
alzheimer,1,Does Coconut Oil Help Alzheimer's? - Alzheimers Support  https://t.co/oys9cWgNZC
alzheimer,0,"@3lectric5heep he thinks Moslems persecuted n moslem countries 4 practicing Islam, is he gettin Alzheimer? They bring persecution with them!"
alzheimer,1,Aluminum and Alzheimer's Rachelle Ledesma Wendy Sta Clara Christy Marfil https://t.co/miLdo7ujPA
alzheimer,1,Are you a Push-Over? New study shows naivete about sarcasm may herald early Alzheimer's - Alzheimers Support  https://t.co/yzg3YOmtPA
alzheimer,1,#GreatEatsMe #SpeedeNews Alzheimer’s Breakthrough: This Essential Oil Drastically Reduces Agitation in 60% of P... https://t.co/Qjf4jmZxat
alzheimer,1,"""Number of Americans living with Alzheimer's is growing fast""
 #WorldAlzMonth #WorldAlzheimersMonth #WAM2017 @alzheimerssoc #AI https://t.co/0w1H11iKhY"
alzheimer,1,Is medical marijuana right for asthmatic Alzheimer’s patient?  https://t.co/ceg1JuWalX
alzheimer,1,"Brain-training apps might one day help the millions of Americans living with Alzheimer's @CNET @iansherr

https://t.co/InLDwZ2lfF"
alzheimer,1,https://t.co/j63MD2MZVU It's day two of the 12 Days of Charitable Giving 2016. Today's charity is Alzheimer's Fund Cure (also known as… https://t.co/1HQjrwg9ji
alzheimer,1,11 yr old from SF donates film festival winnings to the Alzheimer's Association in honor of her grandmother. https://t.co/7lQ53FMoIt https://t.co/TWf8BegYda
alzheimer,2,My sister did her @WORTRADIO show today re: Alzheimer's Disease. We talked about our mom's… https://t.co/NDFSCIgsbi
alzheimer,1,Join #AskAlzGLA now as we talk candidly about the struggles and joys of caregiving. #Alzheimer #dementia
alzheimer,1,Sept is World Alzheimer's Month - check out these resources from @alzassociation: https://t.co/YyA3ZKrK7a #worldalzmonth #alzheimers
alzheimer,1,"""Stunning"" #Alzheimer breakthroughs never translate easily to usable tests &amp; cures. https://t.co/TOAGlB68Av"
alzheimer,1,"Study confirms ""sniff test "" may be useful in diagnosing early Alzheimer's disease Call 0808 808 2235 if you want... https://t.co/LIArJSBIky"
alzheimer,1,5 Expert-Approved Lifestyle Habits to Adopt That Protect You from Alzheimer’s Disease https://t.co/XXBsDui2rI https://t.co/pfbV35qhzP
alzheimer,1,Best Gifts for those with Alzheimer's Dementia -   https://t.co/qQIjxNlSjy
alzheimer,2,"My gma has Alzheimer's too 😔
She's like this with mangos lol https://t.co/0kE2PDJRID"
alzheimer,1,Antipsychotic use in Alzheimer's disease increases mortality risk #Geriatrics https://t.co/9wFVeuVpYS
alzheimer,1,"""Is there a Trump University campus in Texas?"" ""No, sir..that went away when you lost the lawsuit.."" ""I have Alzheimer's, you know.."""
alzheimer,1,'Sniff test' may be useful in diagnosing early Alzheimer's disease - What Doctors Know https://t.co/iuKvyWrJs7
alzheimer,2,"@EmmaKennedy Is it possible trump has  Alzheimer's? He contradicts himself at every turn, forgets things he's said, can't sleep. He's 70."
alzheimer,3,"@bernasher Ahah! I searched my tweets, couldn't find it!!! Alzheimer's is a dreadful thing! I SAID ALZHEIMERS IS A DREADFUL THING!"
alzheimer,2,"Newberry County searching for missing Alzheimer's patient from Little Mountain

Newberry County Deputies are... https://t.co/ZI7wdTc8Vp"
alzheimer,1,Can Alzheimer’s Be Reversed? https://t.co/8TaoMtAcbE
alzheimer,1,Robots using AI helping in detection of Alzheimer's and depression . #AI #needmoreofthis #AIinhealthcare https://t.co/lciy1QD41i
alzheimer,0,You are Alzheimer's mascot you master of socialism https://t.co/LnWiiK6hTT
alzheimer,1,"2016 Alzheimer's Facts and Figures https://t.co/VfuYj10zGs #alz,#caregiver"
alzheimer,1,Alzheimer's Laboratory - 60 Minutes - CBS News https://t.co/2cTmY1nF49
alzheimer,1,"""There is this feeling in neurological community that Alzheimer is divorced from everything going on in the rest of your body""
- D Bredesen"
alzheimer,1,Understanding the causes of and treatments for #Alzheimer’s disease. What we know @neuraustralia https://t.co/BR5yS3ixnS https://t.co/VEOHlpdhf9
alzheimer,1,Every 66 sec. someone develops Alzheimer's. DuPage Memory Café is for those with memory loss &amp; caregivers. Sept. 14 create a fall craft 🍁👩‍🎨 https://t.co/H3hMpbh12z
alzheimer,1,Dramatic results of a hopeful #Alzheimer's breakthrough one amongst: 'Top 10 science stories' https://t.co/bySolZtSyS https://t.co/3GZNRsJlR5
alzheimer,1,"Understanding Dementia Jan 31, 2017, 7–9 p.m Learn about Alzheimer’s disease and related dementias and more https://t.co/6NiDNMG8e2 https://t.co/FtnW0iCmey"
alzheimer,2,My grandpa is suffering from Alzheimer's but he really liked seeing Kipper.
alzheimer,1,Using herpes drugs to slow down Alzheimer's @CCP_AlzSoc @AlzCleveland @AlzheimersSTEP https://t.co/6iIQakHMis
alzheimer,1,"Alzheimer's-Reversing Oil That is Beating Prescription Drugs (be sure to read Mr. Newport's Alzheimer's Recovery)
https://t.co/347RZwhTH8 https://t.co/NI3aLnI4Lr"
alzheimer,2,I'll be walking w/ Bill in the Walk to End Alzheimer's. Help him out w/ a donation if you can for a cause that's very important to him https://t.co/YkRMBXv0nU
alzheimer,1,#Dementia warning: Toxic food truths exposed at the Alzheimer https://t.co/FbRnbGD6n5 #alzheimers #fitness #weightloss #health #healthcare
alzheimer,1,"Dementia and Alzheimer’s Caregivers — Three Steps to Maintaining Good Health https://t.co/JbktWFkdZN #alz,#caregiver"
alzheimer,2,@literateartist @JoyceCarolOates My impression of his doctor is that he could have Alzheimer's - the way his wife spoke for him in interview
alzheimer,1,Marijuana Compound Removes Toxic Alzheimer's Protein From the Brain https://t.co/7gjqEbucTC
alzheimer,1,"Newly discovered disease could hold key to Alzheimer's, Parkinson's – and even ageing https://t.co/S66DobGyoA"
alzheimer,1,Our team is excited to reach it's donation goal for the 2017 Walk to End Alzheimer's!  To donate or join us:  https://t.co/olw2uiQ07E
alzheimer,1,Gum disease raises risk of developing Alzheimer’s disease by 70% https://t.co/rCZw0RLBJK
alzheimer,1,So first thing Alzheimer's is a type of Dementia. They are not one in the same
alzheimer,1,"Eli Lilly, Biogen, and Neurotrope Fight to Find Viable Treatment for Alzheimer’s Disease https://t.co/jZsip0A0YH"
alzheimer,1,More Bad News In Our Nation's Fight Against Alzheimer's Disease #alzheimer https://t.co/IqFY85f4F3
alzheimer,1,A great book if you know or have known anyone with Alzheimer's Corner of the Mind by Roger R. Sigmon https://t.co/ctJ5kZeiQh via @amazon
alzheimer,1,Do what you love to fight Alzheimer’s on #TheLongestDay! Register thru 12/21 to receive a free window cling: https://t.co/ddDWsoNBTV #ENDALZ https://t.co/rHHeIURbba
alzheimer,2,The Startling Change This Test Made for My Mom With Alzheimer’s https://t.co/pxcFtW76pt #elder #law #estate #planning
alzheimer,2,Are we seeing symptoms of Alzheimer's or is he just that out of the loop? https://t.co/HZ6XbMGNm4
alzheimer,1,'I'm 27 and preparing for early-onset Alzheimer's' https://t.co/59YLUhHAFM https://t.co/cmtoabVRbn
alzheimer,1,A virtual assistant to help people with #Alzheimer’s disease via @iAdvanceSnrCare https://t.co/xgrJ3roCgz
alzheimer,1,"Alzheimer, Parkinson Disease Likely Not Spread by Transfusion | JAMA | The JAMA Network Really elegant study design https://t.co/usR5EcLxu6"
alzheimer,1,"Iowa vs. ISU “Jar Wars” has begun @ @pville_elem.  We are collecting $ for Alzheimer’s Awareness this week, last year over $1300 raised. https://t.co/5WSFOXXgzu"
alzheimer,2,my grandma has Alzheimer's &amp; my cousins got her a memory game with our pictures on it so she won't forget ❤️ merry christmas https://t.co/zr8hw22cCC
alzheimer,1,"""Why @Emmerdale's special dementia episode was groundbreaking"" - the Alzheimer's Society (@alzheimerssoc) explains https://t.co/uDebaJWU95 https://t.co/tKpq4AbDhG"
alzheimer,1,TOXIC Deodorant Giving You A Dose of Aluminum Potentially Leading to Alzheimer's https://t.co/VXtjyY2W20
alzheimer,1,Important info for people with loved ones in the Houston area dealing with Alzheimer's or dementia. https://t.co/W48kt5ucwK
alzheimer,1,Why #Eye Exams Are the Future of #Alzheimer’s Screening https://t.co/wAMCOWoAAC https://t.co/2xEVRFJZW8
alzheimer,1,Exciting advancement on Alzheimer's Disease Diagnosis https://t.co/6bIvfKiaJ1
alzheimer,1,Scientists launch virtual reality game to detect Alzheimer's https://t.co/djpYEZGPv1
alzheimer,2,"@libbybrittain She’s definitely not wrong! My dad had Alzheimer’s btw, so I feel for you. What you’re doing now is exactly the thing to do."
alzheimer,1,Using Music to Enhance the Quality of Life of People with Alzheimer's  https://t.co/TqlsUXKFrn https://t.co/juQSRNjah1
alzheimer,1,Compare Normal Memory loss to Signs and Symptoms of Alzheimer's dementia -  https://t.co/tX4zub4I8K
alzheimer,1,Sky accused after letting 72yo Alzheimer's sufferer pay £110 a… https://t.co/uV5bBPqSLl https://t.co/PvYEP4NoYR https://t.co/PvYEP4NoYR
alzheimer,2,"Glen Campbell’s Final Song, Written Before Alzheimer’s Claimed Him, Is Performed By His Son https://t.co/tSTPF9zr87"
alzheimer,1,Pittsburgh-Based Company On Verge Of Breakthrough Drug For Alzheimer’s Disease #Pittsburgh https://t.co/z83O77Dbec
alzheimer,1,And did you give them a shout out for helping to rescue family and elderly lady with Alzheimer's? Probably not. https://t.co/yRdOMzOUSN
alzheimer,1,Is there any hope for finding ways to prevent or treat Alzheimer's? https://t.co/sOvElsUCkL
alzheimer,1,"PennMedNews: It looks like we could use a ""sniff test"" to diagnose Alzheimer's earlier: https://t.co/96FR2h2JZ7 HuffingtonPost PennMedicine"
alzheimer,2,One particular veteran had Alzheimer's. He was frightened &amp; ignored. He &amp; I became friends. Long story. I often think of him @stuntbrain
alzheimer,1,UMD Students Invent Low-Cost Tool For Early Alzheimer’s Diagnosis https://t.co/4RjHxbOpdZ
alzheimer,1,"""@Emmerdale's special dementia episode was groundbreaking"" - the Alzheimer's Society (@alzheimerssoc) explains https://t.co/uDebaJWU95 https://t.co/9xesskrQdT"
alzheimer,1,"“When we over work we don’t hydrate or get exercise, and science is showing this is a cause in the rise of Alzheimer’s.” -@OurFounder"
alzheimer,1,Experimental blood test diagnoses Alzheimer's https://t.co/8PIvyPy2MN
alzheimer,1,Alzheimer’s disease pathological lesions activate the spleen tyrosine kinase https://t.co/AzDBjDFBHK
alzheimer,1,Giving feels good &amp; does good. Give now to @CureAlzheimers to fund breakthru Alzheimer's research with AD pioneers like @RudyTanzi. https://t.co/f2ve2LyZAr
alzheimer,1,@FifeCouncil staff assisting those dealing with Alzheimer's and dementia. Close to home this one. They are all stars! #TheCouncil
alzheimer,1,⚡️ “Jared Kushner reportedly selling the New York Observer” He is the Alzheimer cover- so we will have our 1st Jewish President!
alzheimer,1,You Can See More: An end to Alzheimer's? Scientists show how we could block the disease in its earliest stages https://t.co/GWgSc8iI28
alzheimer,1,Senate Subcommittee proposes $414 increase in Alzheimer's Disease research funding from the NIH: https://t.co/fp7UIGkRLk https://t.co/PLOZnpvY6B
alzheimer,2,"@CNBCnow look back at my tweets, I've been saying this man should be evaluated for dementia for awhile now.  His father had Alzheimer's"
alzheimer,1,Chocolate may Soothe Anger in Alzheimer's - Alzheimers Support https://t.co/drpXWE7aQf https://t.co/vH1vE70I9j
alzheimer,2,Alzheimer mom's reaction to daughter's pregnancy. 💜💜 https://t.co/z33lDr1Qek
alzheimer,1,"5 Ways to Protect Your Memory from Dementia
#memoryhealth https://t.co/oxOFrQslBL"
alzheimer,0,"@eviephinslvr Vaguely remember from 2008, but its fuzzy (Pre Alzheimer) 😉"
alzheimer,1,HR Advisor-Alzheimer's Society(#Jobs-#UKJobs) https://t.co/oAWKMekODa
alzheimer,1,Heartburn Drugs Linked to Increased Risk of Alzheimer's https://t.co/5E9gEES6Dx #Alzheimers #heartburn
alzheimer,1,Cold Weather Precautions for Elderly with Alzheimer’s - Alzheimers Support https://t.co/MKTBhFFJ6s https://t.co/2YsOCsmkOX
alzheimer,1,ugh i hate alzheimer's and how it affects people 😞 https://t.co/6nbXKjRPDQ
alzheimer,2,My grandmother with Alzheimer's recognized me today and if that's not one of the best Christmas gifts I don't know what else is🎁❤️
alzheimer,2,"Taking care of my 91 year-old mom. It saddens me, dementia is bad and Alzheimer's is worse but thank God she remembers my name and who I am."
alzheimer,1,they have me in the alzheimer's unit &amp; wow it's trippy :( I wish I could cure it
alzheimer,1,Alzheimer disease really sucks..😥😞
