"","tweet","label"
"98","Cold Weather Precautions for Elderly with Alzheimer’s - Alzheimers Support",1
"99","Sleeping Kitty The Perfect Gift for Alzheimer's - Alzheimers Support",1
"103","Which genetic marker is the ring leader in the onset of Alzheimer's disease?",1
"105","Refer a friend. Help a charity. For every referred patient, we will donate $10 to Alzheimer's Network @AlzNetOR",1
"106","Alzheimer’s Plaque in Mice Cut in Half With Flashing Lights",1
"107","This is a man who can not remember what he said last week so he does not know his plan. Early stage Alzheimer's",2
"109","Support Lulu's girls in the Walk to End Alzheimer's. Donate today and help #ENDALZ.",1
"110","New Study Explores Molecular Roots Of Alzheimer's Disease",1
"111","Every time you think of a memory, your mind changes it - in other words, the purest memories are in the minds of those with Alzheimer's.",1
"114","Thinking of caring for a loved one with #Alzheimer at home? Check out some of our tips on our latest #blog #mobility",1
"115","@JoyceCarolOates Alzheimer's bc how REACTS to finding out he forgot - that is what changes w/ Alz: we lose the ""oops!"" feeling/reaction",2
"117","I am Walking to End Alzheimer's 4 my Dad. Donate 2 Dennis and the Menaces (to Alzheimer's)! and help #ENDALZ:",2
"119","Researchers seek to catch Alzheimer's early by peeking into the eyes",1
"120","Is This The Beginning of #Alzheimer's Disease or... What City is this anyway? -",1
"121","The effects of Vitamin D on Alzheimer's disease",1
"124","Are Alzheimer's Activity Puzzles appropriate for the Person with dementia and Advanced Alzheimer's?",1
"125","dementia (Alzheimer's) takes everything away from a person so fast😔 it is heartbreaking to see💙",1
"126","Does Coconut Oil Help Alzheimer's? - Alzheimers Support",1
"128","Aluminum and Alzheimer's Rachelle Ledesma Wendy Sta Clara Christy Marfil",1
"130","#GreatEatsMe #SpeedeNews Alzheimer’s Breakthrough: This Essential Oil Drastically Reduces Agitation in 60% of P...",1
"131","""Number of Americans living with Alzheimer's is growing fast"" #WorldAlzMonth #WorldAlzheimersMonth #WAM2017 @alzheimerssoc #AI",1
"132","Is medical marijuana right for asthmatic Alzheimer’s patient?",1
"133","Brain-training apps might one day help the millions of Americans living with Alzheimer's @CNET @iansherr",1
"134","it is day two of the 12 Days of Charitable Giving 2016. Today's charity is Alzheimer's Fund Cure (also known as…",1
"138","Sept is World Alzheimer's Month - check out these resources from @alzassociation: #worldalzmonth #alzheimers",1
"139","""Stunning"" #Alzheimer breakthroughs never translate easily to usable tests and cures.",1
"141","5 Expert-Approved Lifestyle Habits to Adopt That Protect You from Alzheimer’s Disease",1
"143","My gma has Alzheimer's too 😔 She is like this with mangos laughing out loud",2
"144","Antipsychotic use in Alzheimer's disease increases mortality risk #Geriatrics",1
"147","@EmmaKennedy Is it possible trump has Alzheimer's? He contradicts himself at every turn, forgets things he is said, can not sleep. he is 70.",2
"149","Newberry County searching for missing Alzheimer's patient from Little Mountain Newberry County Deputies are...",2
"151","Robots using AI helping in detection of Alzheimer's and depression . #AI #needmoreofthis #AIinhealthcare",1
"152","You are Alzheimer's mascot you master of socialism",0
"153","2016 Alzheimer's Facts and Figures #alz,#caregiver",1
"155","""There is this feeling in neurological community that Alzheimer is divorced from everything going on in the rest of your body"" - D Bredesen",1
"156","Understanding the causes of and treatments for #Alzheimer’s disease. What we know @neuraustralia",1
"158","Dramatic results of a hopeful #Alzheimer's breakthrough one amongst: 'Top 10 science stories'",1
"159","Understanding Dementia Jan 31, 2017, 7–9 p.m Learn about Alzheimer’s disease and related dementias and more",1
"161","Using herpes drugs to slow down Alzheimer's @CCP_AlzSoc @AlzCleveland @AlzheimersSTEP",1
"162","Alzheimer's-Reversing Oil That is Beating Prescription Drugs (be sure to read Mr. Newport's Alzheimer's Recovery)",1
"166","@literateartist @JoyceCarolOates My impression of his doctor is that he could have Alzheimer's - the way his wife spoke for him in interview",2
"167","Marijuana Compound Removes Toxic Alzheimer's Protein From the Brain",1
"168","Newly discovered disease could hold key to Alzheimer's, Parkinson's – and even ageing",1
"169","Our team is excited to reach it is donation goal for the 2017 Walk to End Alzheimer's! To donate or join us:",1
"170","Gum disease raises risk of developing Alzheimer’s disease by 70%",1
"173","More Bad News In Our Nation's Fight Against Alzheimer's Disease #alzheimer",1
"174","A great book if you know or have known anyone with Alzheimer's Corner of the Mind by Roger R. Sigmon via @amazon",1
"175","Do what you love to fight Alzheimer’s on #TheLongestDay! Register thru 12/21 to receive a free window cling: #ENDALZ",1
"176","The Startling Change This Test Made for My Mom With Alzheimer’s #elder #law #estate #planning",2
"177","Are we seeing symptoms of Alzheimer's or is he just that out of the loop?",2
"178","'I am 27 and preparing for early-onset Alzheimer's'",1
"179","A virtual assistant to help people with #Alzheimer’s disease via @iAdvanceSnrCare",1
"180","Alzheimer, Parkinson Disease Likely Not Spread by Transfusion | JAMA | The JAMA Network Really elegant study design",1
"181","Iowa vs. ISU “Jar Wars” has begun @ @pville_elem. We are collecting $ for Alzheimer’s Awareness this week, last year over $1300 raised.",1
"182","my grandma has Alzheimer's and my cousins got her a memory game with our pictures on it so she will not forget ❤️ merry christmas",2
"183","""Why @Emmerdale's special dementia episode was groundbreaking"" - the Alzheimer's Society (@alzheimerssoc) explains",1
"184","TOXIC Deodorant Giving You A Dose of Aluminum Potentially Leading to Alzheimer's",1
"185","Important info for people with loved ones in the Houston area dealing with Alzheimer's or dementia.",1
"186","Why #Eye Exams Are the Future of #Alzheimer’s Screening",1
"189","@libbybrittain She’s definitely not wrong! My dad had Alzheimer’s by the way, so I feel for you. What you’re doing now is exactly the thing to do.",2
"192","Sky accused after letting 72yo Alzheimer's sufferer pay £110 a…",1
"195","And did you give them a shout out for helping to rescue family and elderly lady with Alzheimer's? Probably not.",1
"197","PennMedNews: It looks like we could use a ""sniff test"" to diagnose Alzheimer's earlier: HuffingtonPost PennMedicine",1
"200","""@Emmerdale's special dementia episode was groundbreaking"" - the Alzheimer's Society (@alzheimerssoc) explains",1
"201","“When we over work we don’t hydrate or get exercise, and science is showing this is a cause in the rise of Alzheimer’s.” -@OurFounder",1
"202","Experimental blood test diagnoses Alzheimer's",1
"203","Alzheimer’s disease pathological lesions activate the spleen tyrosine kinase",1
"205","@FifeCouncil staff assisting those dealing with Alzheimer's and dementia. Close to home this one. They are all stars! #TheCouncil",1
"208","Senate Subcommittee proposes $414 increase in Alzheimer's Disease research funding from the NIH:",1
"210","Chocolate may Soothe Anger in Alzheimer's - Alzheimers Support",1
"211","Alzheimer mom's reaction to daughter's pregnancy. 💜💜",2
"213","@eviephinslvr Vaguely remember from 2008, but its fuzzy (Pre Alzheimer) 😉",0
"214","HR Advisor-Alzheimer's Society(#Jobs-#UKJobs)",1
"215","Heartburn Drugs Linked to Increased Risk of Alzheimer's #Alzheimers #heartburn",1
"216","Cold Weather Precautions for Elderly with Alzheimer’s - Alzheimers Support",1
"218","My grandmother with Alzheimer's recognized me today and if that is not one of the best Christmas gifts I do not know what else is🎁❤️",2
"219","Taking care of my 91 year-old mom. It saddens me, dementia is bad and Alzheimer's is worse but thank God she remembers my name and who I am.",2
"220","they have me in the alzheimer's unit and wow it is trippy frown I wish I could cure it",1
"221","Alzheimer disease really sucks..😥😞",1
"223","Study reveals what causes Alzheimer's and a drug that could stop it @MailOnline",1
"224","Newly discovered disease could hold key to Alzheimer's, Parkinson's - and even ageing",1
"226","@Adam_LFC_96 @elvisfkennedy @5liveSport no have you got alzheimer from the 70s",0
"227","Princeton PD asking for public's help in finding Alzheimer's patient last seen in Diboll",2
"228","🌎News: #Alzheimer's: Landmark study unravels secrets of how brain cells degenerate",1
"229","New study may help detect Alzheimer's 7 years before symptoms show up via @ETPanache",1
"230","Study reveals what causes Alzheimer's and a drug that could stop it via @MailOnline",1
"231","#Check out these resources to learn how you can help spread the word about World #Alzheimer's Month",1
"232","What is Dementia? What are the Causes besides Alzheimer's? - Alzheimers Support",1
"234","Decision time...should I put purple in my hair in honor of the Alzheimer's walk next week? Opinions?",1
"237","@realDonaldTrump Oh, you dear delusional man. Early onset Alzheimer's? Get help STAT.",2
"238","Not sure if Trump thinks we are the fools or if he is just an idiot with onset alzheimer's. Why not both?",2
"239","old mfs been tryin me too much lately like i wont sounds like a plan they stupid ass into alzheimer's",1
"240","Does Mom with Alzheimer's Need a Baby doll? - Alzheimers Support",1
"241","Alzheimer's: Dealing with Family Conflict #alz,#caregiver",1
"242","My friend Kirsty Brown is fundraising for Alzheimer's Society. Donate to Kirsty 's JustGiving page",1
"243","Sign up to Do What You Love to Fight Alzheimer's",1
"244","Breakthrough that could potentially lead to Alzheimer treatment:",1
"246","How to Convince a Loved One with Alzheimer's dementia to Shower - Alzheimers Support",1
"248","Elderly man with Alzheimer's last seen wearing cowboy hat in northwest Dallas",2
"250","StuCo hours for helping out on 9/8 from 5:30-8:30pm or on 9/9 from 7-11:30am w/ the Walk to End Alzheimer's. Contact: jbrennan@alz.org",1
"251","Thank you to our sponsors! let us kick Alz in the ballz! Walk to End Alzheimer's Sun, Sept 17th! for more info. 💜💙",1
"252","@realDonaldTrump Early Alzheimer's onset? U and your supporters did exactly that. They followed your lead! Did you forget? it is on tape!",2
"253","Friend who deal with Alzheimer's patients daily have made the same speculation.",1
"257","The Georgia Alzheimer's Disease and Related Dementias State Plan addresses the growing challenge of dementia",1
"258","@pjhnsn8 @azmoderate Please stop with the Alzheimer's. He is a fucking jackass who reflexively lies and can not keep them all straight.",1
"259","@overtflow Remember I said my dad has Alzheimer's yesterday? My sister gave me this picture today of him and I",2
"260","How big is your Lifespace? Could it be the deciding factor in Alzheimer's disease? - Alzheimers Support",1
"262","Lauren Cullen is fundraising for Alzheimer's Society. Donate to Lauren's JustGiving page",1
"263","Ingredients in most air fresheners have been linked to neurodegenerative diseases like Alzheimer’s. #nontoxic",1
"264","Roche to start new trial of AC Immune drug against Alzheimer's",1
"267","Drink one beverage that reduces your risk of developing Alzheimer’s - #FarQuest #Patented",1
"269","Why Adult Day Care is Great for #Alzheimer's and #Dementia Patients via @skylarkseniorca",1
"270","I know people whose grandparents died of Alzheimer's so I am not saying it to be obnoxious or insensitive but Trump has memory issues",2
"271","My friend's husband has just been diagnosed. Help defeat dementia with Alzheimer's Research UK via @telegraph",2
"272","Startling news about pain and #Alzheimer’s from a study by VUSN's Todd Monroe and Jinjiao Wang of @VUSM:",1
"273","Principal components analysis of agitation outcomes in Alzheimer's disease.",1
"275","Help also known as Sigma Omega fight Alzheimer's on The Longest Day!",1
"276","derek really wanted to find a cure for Alzheimer's because he did not want meredith to get it just like her mom did",1
"277","Damn bruh that Alzheimer's am not no hoe my grandpa barely remember me.",2
"280","Alzheimer's and Alleviating Symptoms #alz,#caregiver",1
"281","Systematic development of small molecules to inhibit specific microscopic steps of Aβ42 aggregation in Alzheimer’s…",1
"282","Mexico is not the same since my grandpa got Alzheimer's, he was the reason I loved coming so much",2
"283","Help defeat dementia with Alzheimer's Research UK via #sharetheorange Each share @telegraph gives £1! Please RT",1
"284","Ginkgo Biloba is a great supplement to take to help prevent Alzheimer's and dementia. It helps improve your memory.",1
"285","Ask Well: Is Dementia the Same as Alzheimer’s Disease? vía @nytimeswell",1
"286","ALZHEIMER'S TREATMENTS THAT ACTUALLY WORKED IN SMALL STUDIES! (BASED ON NE... via @amazon",1
"287","Alzheimer's patients who take antidepressants are more likely to fall #braintrauma #headinjury",1
"288","Glaucoma Drug Could be the Cure to Alzheimer’s Disease @CCP_AlzSoc @AlzCleveland @AlzheimersSTEP",1
"289","Apparently #GOP #NRA people think mentally incompetent people w/ Alzheimer's should be allowed to buy guns. C'mon people, use some COMMON SENSE!",1
"291","Sky Apologises For Letting 72-Year-Old Alzheimer's Sufferer Pay £110 A Month For TV",1
"292",".@ASU researchers enter race for early #Alzheimer's test.",1
"294","Flickering lights may illuminate a path to Alzheimer's treatment - LA Times",1
"296","BBC News - Emmerdale dementia episode praised by Alzheimer's Society -",1
"297","My grandpa has Alzheimer's and he keeps singing songs about wanting to forget",2
"298","Right now, a spinal fluid test can signal Alzheimer's up to 20 years before clinical onset. It tracks levels of...",1
"299","Eventually all the guys in the expendables will be battling old age in future movies villains like alzheimer's and ed",1
"301","Mary Newport – Medium Chain Triglycerides and Ketones: An Alternative Fuel for Alzheimer’s",1
"302","Study Details Molecular Roots of #Alzheimer’s:",1
"303","Scientists from TIFR - Hyderabad - study Alzheimer's disease progression - in the lab @kvijayraghavan @doctorsoumya",1
"304","Study confirms ‘sniff test’ may be useful in diagnosing early Alzheimer’s disease",1
"308","Infographic: Brain Infection and Alzheimer’s Disease Pathology @TheScientistLLC #ScienceTwitter",1
"309","Alzheimer's is a bitch man. I am sitting next to this beautiful woman and she can not remember who I am 😞",2
"310","Dr. Cooper recommends exercising your mind daily to prevent Alzheimer's. #CrosswordPuzzleDay",1
"312","Research on Parkinson's, Huntington's, Alzheimer's and other neurodegenerative disorders in this issue:",1
"313","Your #health, Is #Alzheimer preventable? Find out here: Understanding Alzheimer's Disease",1
"314","Son of legendary football coach Frank Broyles aims to offer help, hope to local families dealing with Alzheimer’s",2
"315","Joy For All Silver Cat With vibra purr and realistic movements for Care companion - Alzheimer's friend",1
"316","A characteristic feature of Alzheimer's disease is the presence of so called amyloid plaques in the patient's br...",1
"317","Women deteriorate faster then men with Alzheimer's via @PBeatingCancer",1
"318","Alzheimer, Parkinson Disease Likely Not Spread by Transfusion",1
"320","Scientists make breakthrough that could lead to Alzheimer's treatment, and even slow ageing",1
"321","BBC News - Emmerdale dementia episode praised by Alzheimer's Society",1
"322","The Alzheimer’s Association Invites Harlem Residents To Join The Fight To End Alzheimer’s",1
"323","Marijuana Compound Removes Toxic Alzheimer's Protein From The Brain",1
"324","""Alzheimer’s is often called a cruel disease, but Judy Meagher was able to find a charming side.""",2
"325","Well that was one of the WORST Christmases EVER! for your information, if a family member suffers from Alzheimer's Disease, DO NOT let Them drink Alcohol!",2
"326","David's research at Penn A 'sniff test' could be useful in diagnosing Alzheimer's disease # via @HuffPostUKTech",1
"328","If #Alzheimer's disease affects you or someone you know, please read this study. A family history of Alzheimer's ca…",1
"329","Legendary defense attorney Ron Meshbesher struggles with Alzheimer's disease",2
"330","Top story: Alzheimer's Assoc. on Twitter: ""Do what you love to fight Alzheimer’… , see more",1
"332","SHE DAILY | Inside the AI healthcare revolution: meeting the robots that can detect Alzheimer’s and depression",1
"333","@TuckerCarlson If King of the World I would take money from NASA and allocate to find a cure for Cancer and Alzheimer's.",1
"334","Their brains had signs of Alzheimer's, but their minds were still nimble via @sxbegle",1
"336","Minneapolis cops taser an unarmed 91 year old Alzheimer's patient in the back because he would not obey their...",2
"337","Genetics put some older women at higher risk than men for Alzheimer's - USC News",1
"340","Music program helping improve lives of Alzheimer's patients",1
"341","Had bogus nightmares about having Alzheimer's and reading that tacos are the only way to stave off the disease",1
"343","#science Alzheimer's breakthrough: New drugs restore memory loss and prolong life in mice",1
"345","solanezumab failed a study for treating Alzheimer’s disease",1
"346","my papaw has alzheimer's and he is obsessed with puzzles. for about 20 minutes he was just showing me all his puzzles, he is so proud of them 😭",2
"347","Sundowning can be difficult for the family as well as the person with Alzheimer's--",1
"348","#OCTRI's own Jodi Lapidus and Jack Wiedrick in the @OHSUBiostats core played a key role in this important #Alzheimer research.",1
"349","Flickering Lights May Illuminate A Path To Alzheimer's Treatment - Slashdot",1
"350","The power of love. Mom with Alzheimer's and a cat who adores her.",1
"351","Alzheimer’s and smoking genes suggest we’re still evolving",1
"354","#Wellness and #Longevity Tips: How to prevent Alzheimer's disease — CNN",1
"355","The root cause of all this confusion is that the dementia of Alzheimer type is a syndrome, not a single disease.",1
"356","Preventing Alzheimer’s Disease Is Easier Than You Think | Psychology Today",1
"357","People looking after loved ones with Alzheimer’s can show high levels of emotional distress, via @alzassociation",1
"359","Scientists launch virtual reality game to detect Alzheimer’s",1
"360",". A new multi-target therapeutic strategy for Alzheimer’s disease",1
"361","T***p may have Alzheimer's. he is already forgotten to lock her up, to drain the swamp, and that a #president-elect is not a reality TV star",2
"364","Are You Unknowingly Contributing To Your Brain’s Decline? #brain #health #mentalhealth #dementia #Alzheimer #habits",1
"366","Alzheimer's: Landmark study unravels secrets of how brain cells degenerate",1
"367","If you are up for the drive to a Chipotle tomorrow make sure to show this as you check out to support the Alzheimer's Association! 💜🌯",1
"368","YOUR HEALTH: Getting Alzheimer's at an earlier age via @wqad",1
"370",".@dianeako tells a poignant story about her daughter's acceptance of Popo's Alzheimer's disease via @hawairl",2
"371","Algorithm could predict Alzheimer’s risk years before symptoms occur",1
"372","Most 'blockbuster' treatments for diseases like Alzheimer's fail, but here's why researchers are not giving up hope",1
"373","Study reveals what causes Alzheimer's and a drug that could stop it via @MailOnline",1
"374","@bradisterrific Bernie's socialist gulag plans! Bernie alzheimer's! you name it, we would have seen it.",0
"375","Alzheimer’s disease can lead to several widely divergent symptoms and, so far, its various expressions have...",1
"376","Sheriff's volunteers, officials find missing woman with Alzheimer's",1
"381","@SidusRS Alzheimer's or Dimentia? My grandma had Dimentia for a yearish before she died. Its a real shitty thing 2 go thru that is a miracle",2
"382",".Jontevlin shared that legendary Minnesota attorney Ron Meshbesher has been diagnosed with Alzheimer's disease:",2
"383","Great year-round tips and reminders from @TeepaSnow #dementia #Alzheimer #care #tips #techniques #skills #caregiving",1
"385","Help defeat dementia with Alzheimer's Research UK via @telegraph R/T",1
"386","Scientists detail structure of molecule implicated in Alzheimer's disease",1
"388","Diagnosing #Alzheimer's early helps protect a patient's financial well-being. #trust #estate #litigation",1
"389","The Startling Change This Test Made for My Mom With Alzheimer’s",2
"390","Alzheimer's Or NPH: Both Can Steal Your Identity, But You Can Come Back From One via @forbes",1
"391","Ultrasound Therapy for Preventing Brain Aging and Alzheimer’s",1
"392","How to Follow The MIND Diet for a 53% Reduction in Risk of #Alzheimer’s via @getcerevan",1
"393","#civicjob #boston Programs Coordinator - Boston and North - Description:  Posted by: Alzheimer's Association, M...",1
"394","Could new research on light-based therapy on mice provide hope for Alzheimer's patients? via @KQEDscience",1
"395","New Alzheimer's research method uses muons #General_Physics_",1
"398","Thinking about signing up a team for the Walk to End Alzheimer's? do not delay: #EndALZ #Walk2EndALZ",1
"400","it is scary being told your grandmother might have Alzheimer's disease. No idea how I will cope when my parents get that old.",2
"403","Nebraska woman with Alzheimer's missing #Nebraska",2
"405","@PHoey15 try that when your grandma has Alzheimer's and does not remember she asked you those questions. She thinks I am still in school",2
"406","Alzheimer's hope in new memory-restoring drug -",1
"407","Want to lower your risks of Alzheimer's? One researcher thinks he may have unlocked some of the secrets to doing...",1
"408","Alzheimer’s Drug Shows Promise for Reducing Fibromyalgia Pain – National Pain Report",1
"409","Best Gifts for those with Alzheimer's Dementia - Alzheimers Support",1
"410","Excited to meet with @RepAlLawsonJr's Jacksonville office to discuss Alzheimer's Disease initiatives and how he can help #ENDAlz @Alz_cnfl",1
"411","do not Deny or Overlook Personality Changes that may signal Alzheimer's - Alzheimers Support",1
"412","Legendary defense attorney Ron Meshbesher struggles with Alzheimer's disease by @jontevlin",2
"415","All About #CurableVitamins: The effect of Vitamin excuse me on Alzheimer's disease",1
"416","Please help Faibury police find Nyla Stanton. She is 82 with Alzheimer's.",2
"418","7 The Seventh and The Last Stage of Alzheimer's dementia -",1
"419","Join us September 25th for a workshop presented by the Alzheimer's Association on knowing the 10 signs of Alzheimer's and Dementia.",1
"420","Queensland Brain Inst manages 7 PB of data in @Oracle Hierarchical Storage Mger to research treatment for Alzheimer",1
"421","I come home to knowing my grandpa had a heart attack in these past couple days....we can not even know cause Alzheimer's is A FUCKING KILLER..",2
"422","Why We Must Attack Alzheimer's Disease on a Range of Research Fronts",1
"423","'Sniff test' may be useful in diagnosing early Alzheimer's disease",1
"424","Join me in my Walk to End Alzheimer's",1
"425","Family is a huge part of #alzheimer success. Info (and Schedule) from @AlzheimerNJ for support groups near you!",1
"426","The Alzheimer's Association presented its inaugural #LOLforAlzheimer's Event on September 17,…",1
"428","Bradford's Alzheimer's Face it together group learn about adult safeguarding great group, fantastic session empowering our communities",1
"429","Alzheimerand#39;s Disease Genetics: From the Bench to the Clinic - SFN - Scientific Research via BrainSights",1
"430","The Noodles that Cause Chronic Inflammation, Weight Gain, Alzheimer’s and Parkinson’s disease",1
"431","You Can See More: Alzheimer's: Landmark study unravels secrets of how brain cells degenerate",1
"432","The one disturbing thought in Black Mirror's SAN JUNIPERO, and it is terrifying, is that Alzheimer's has yet to be cured",1
"433","Greendale man suffering from Alzheimer's receives outpouring of support: @BenJordan3",2
"434","Sky Apologises For Letting 72-Year-Old Alzheimer's Sufferer Pay £110 A Month For TV…",1
"435","@TheJackieCastro I am a nurse and work with Alzheimer's residents. I receive blessings everyday from serving them. God Bless Her.",1
"436","The Validation Breakthrough with Simple Techniques for Communicating with People with 'Alzheimer's-Type Dementia'",1
"437","Robots Powered by #ArtificialIntelligence Now Capable of Being 82% Correct While Detecting Alzheimer’s and Depression",1
"438","Eli Lilly's promising #Alzheimer's Drug Trial to Treat Mild #Dementia Fails Phase III Trials #Pharmacology",1
"442","What is Dementia? What are the Causes besides Alzheimer's? - Alzheimers Support",1
"446","Aluminum Causes Alzheimer's, a New Study in the U.K. Confirms",1
"447","Believe it or not, these games can be great tools for families living with #Alzheimer's. Have you tried any of them lately?",1
"448","Strobe lighting provides a flicker of hope in the fight against Alzheimer’s",1
"449","Fun Gifts for Seniors with Alzheimer's - Alzheimers Support",1
"452","The Internal Clock fails for those with Alzheimer's -",1
"454","I am thinking geriatric raves ... Strobe light at 40 flashes per second might help ward off Alzheimer's disease.",1
"455","Dementia symptoms: Eyes could be used to indicate early Alzheimer's disease",1
"457","Poor Sleep Raises Alzheimer's Risk #healthyliving #healthtips",1
"459","#GreatEatsMe #SpeedeNews Alzheimer’s Breakthrough: This Essential Oil Drastically Reduces Agitation in 60% of P...",1
"460","Women's Health News: Alzheimer's: Sex matters, but so does age",1
"463","Study Details Molecular Roots of Alzheimer’s",1
"464","New Tool Detects Alzheimer's Earlier, Before Symptoms Appear",1
"465","In 2015, 15.9 million family and friends provided 18.1 billion hours of unpaid care to those with Alzheimer's and other dementias #AskAlzGLA",1
"466","Two sisters in Britain are among youngest to have Alzheimer's at age 6 and 10.",2
